feature,lat,region,type,id
Brain_Seg_Vol,B,seg,V,
Brain_Seg_Vol_Not_Vent,B,seg,V,
CC_Anterior_Vol,C,anterior,V,
CC_Central_Vol,C,central,V,
CC_MidAnterior_Vol,C,midanterior,V,
CC_MidPosterior_Vol,C,midposterior,V,
CC_Posterior_Vol,C,posterior,V,
Lh_Accumbens_Vol,L,accumbens,V,8.0
Lh_Amygdala_Vol,L,amygdala,V,7.0
Lh_Bankssts_Thick,L,bankssts,T,19.0
Lh_Bankssts_Vol,L,bankssts,V,19.0
Lh_Bankssts_Area,L,bankssts,A,19.0
Lh_Caudalanteriorcingulate_Thick,L,caudalanteriorcingulate,T,20.0
Lh_Caudalanteriorcingulate_Vol,L,caudalanteriorcingulate,V,20.0
Lh_Caudalanteriorcingulate_Area,L,caudalanteriorcingulate,A,20.0
Lh_Caudalmiddlefrontal_Thick,L,caudalmiddlefrontal,T,21.0
Lh_Caudalmiddlefrontal_Vol,L,caudalmiddlefrontal,V,21.0
Lh_Caudalmiddlefrontal_Area,L,caudalmiddlefrontal,A,21.0
Lh_Caudate_Vol,L,caudate,V,3.0
Lh_Cerebellum_Vol,L,cerebellum,V,1.0
Lh_CerebellumWM_Vol,L,cerebellumwm,V,
Lh_ChoroidPlexus_Vol,L,choroidplexus,V,
Lh_Cortex_Vol,L,cortex,V,
Lh_CortWM_Vol,L,cortwm,V,
Lh_Cuneus_Thick,L,cuneus,T,22.0
Lh_Cuneus_Vol,L,cuneus,V,22.0
Lh_Cuneus_Area,L,cuneus,A,22.0
Lh_Entorhinal_Thick,L,entorhinal,T,23.0
Lh_Entorhinal_Vol,L,entorhinal,V,23.0
Lh_Entorhinal_Area,L,entorhinal,A,23.0
Lh_Frontalpole_Thick,L,frontalpole,T,49.0
Lh_Frontalpole_Vol,L,frontalpole,V,49.0
Lh_Frontalpole_Area,L,frontalpole,A,49.0
Lh_Fusiform_Thick,L,fusiform,T,24.0
Lh_Fusiform_Vol,L,fusiform,V,24.0
Lh_Fusiform_Area,L,fusiform,A,24.0
Lh_Hippocampus_Vol,L,hippocampus,V,6.0
Lh_Inferiorparietal_Thick,L,inferiorparietal,T,25.0
Lh_Inferiorparietal_Vol,L,inferiorparietal,V,25.0
Lh_Inferiorparietal_Area,L,inferiorparietal,A,25.0
