feature,region,lat,type,0,1,2,id
CEREBRUMTCV,cerebrum,TOT,V,CEREBRUMTCV,,,
GM,gm,TOT,V,GM,,,
LEFT_HIPPO,hippocampus,L,V,LEFT,HIPPOCAMPUS,GVOL,6.0
RIGHT_HIPPO,hippocampus,R,V,RIGHT,HIPPOCAMPUS,GVOL,15.0
HIPPOCAMPUS,hippocampus,TOT,V,TOT,HIPPOCAMPUS,GVOL,
LH_CAUDALANTERIORCINGULATE_GVOL,lh-caudalanteriorcingulate,L,V,LH,CAUDALANTERIORCINGULATE,GVOL,20.0
LH_CAUDALANTERIORCINGULATE_SAREA,lh-caudalanteriorcingulate,L,A,LH,CAUDALANTERIORCINGULATE,SAREA,20.0
LH_CAUDALANTERIORCINGULATE_AVGTH,lh-caudalanteriorcingulate,L,T,LH,CAUDALANTERIORCINGULATE,AVGTH,20.0
LH_CAUDALMIDDLEFRONTAL_GVOL,lh-caudalmiddlefrontal,L,V,LH,CAUDALMIDDLEFRONTAL,GVOL,21.0
LH_CAUDALMIDDLEFRONTAL_SAREA,lh-caudalmiddlefrontal,L,A,LH,CAUDALMIDDLEFRONTAL,SAREA,21.0
LH_CAUDALMIDDLEFRONTAL_AVGTH,lh-caudalmiddlefrontal,L,T,LH,CAUDALMIDDLEFRONTAL,AVGTH,21.0
LH_CUNEUS_GVOL,lh-cuneus,L,V,LH,CUNEUS,GVOL,22.0
LH_CUNEUS_SAREA,lh-cuneus,L,A,LH,CUNEUS,SAREA,22.0
LH_CUNEUS_AVGTH,lh-cuneus,L,T,LH,CUNEUS,AVGTH,22.0
LH_ENTORHINAL_GVOL,lh-entorhinal,L,V,LH,ENTORHINAL,GVOL,23.0
LH_ENTORHINAL_SAREA,lh-entorhinal,L,A,LH,ENTORHINAL,SAREA,23.0
LH_ENTORHINAL_AVGTH,lh-entorhinal,L,T,LH,ENTORHINAL,AVGTH,23.0
LH_FUSIFORM_GVOL,lh-fusiform,L,V,LH,FUSIFORM,GVOL,24.0
LH_FUSIFORM_SAREA,lh-fusiform,L,A,LH,FUSIFORM,SAREA,24.0
LH_FUSIFORM_AVGTH,lh-fusiform,L,T,LH,FUSIFORM,AVGTH,24.0
LH_INFERIORPARIETAL_GVOL,lh-inferiorparietal,L,V,LH,INFERIORPARIETAL,GVOL,25.0
LH_INFERIORPARIETAL_SAREA,lh-inferiorparietal,L,A,LH,INFERIORPARIETAL,SAREA,25.0
LH_INFERIORPARIETAL_AVGTH,lh-inferiorparietal,L,T,LH,INFERIORPARIETAL,AVGTH,25.0
LH_INFERIORTEMPORAL_GVOL,lh-inferiortemporal,L,V,LH,INFERIORTEMPORAL,GVOL,26.0
LH_INFERIORTEMPORAL_SAREA,lh-inferiortemporal,L,A,LH,INFERIORTEMPORAL,SAREA,26.0
LH_INFERIORTEMPORAL_AVGTH,lh-inferiortemporal,L,T,LH,INFERIORTEMPORAL,AVGTH,26.0
LH_INSULA_GVOL,lh-insula,L,V,LH,INSULA,GVOL,52.0
LH_INSULA_SAREA,lh-insula,L,A,LH,INSULA,SAREA,52.0
LH_INSULA_AVGTH,lh-insula,L,T,LH,INSULA,AVGTH,52.0
LH_ISTHMUSCINGULATE_GVOL,lh-isthmuscingulate,L,V,LH,ISTHMUSCINGULATE,GVOL,27.0
LH_ISTHMUSCINGULATE_SAREA,lh-isthmuscingulate,L,A,LH,ISTHMUSCINGULATE,SAREA,27.0
LH_ISTHMUSCINGULATE_AVGTH,lh-isthmuscingulate,L,T,LH,ISTHMUSCINGULATE,AVGTH,27.0
LH_LATERALOCCIPITAL_GVOL,lh-lateraloccipital,L,V,LH,LATERALOCCIPITAL,GVOL,28.0
LH_LATERALOCCIPITAL_SAREA,lh-lateraloccipital,L,A,LH,LATERALOCCIPITAL,SAREA,28.0
LH_LATERALOCCIPITAL_AVGTH,lh-lateraloccipital,L,T,LH,LATERALOCCIPITAL,AVGTH,28.0
LH_LATERALORBITOFRONTAL_GVOL,lh-lateralorbitofrontal,L,V,LH,LATERALORBITOFRONTAL,GVOL,29.0
LH_LATERALORBITOFRONTAL_SAREA,lh-lateralorbitofrontal,L,A,LH,LATERALORBITOFRONTAL,SAREA,29.0
LH_LATERALORBITOFRONTAL_AVGTH,lh-lateralorbitofrontal,L,T,LH,LATERALORBITOFRONTAL,AVGTH,29.0
LH_LINGUAL_GVOL,lh-lingual,L,V,LH,LINGUAL,GVOL,30.0
LH_LINGUAL_SAREA,lh-lingual,L,A,LH,LINGUAL,SAREA,30.0
LH_LINGUAL_AVGTH,lh-lingual,L,T,LH,LINGUAL,AVGTH,30.0
LH_MEDIALORBITOFRONTAL_GVOL,lh-medialorbitofrontal,L,V,LH,MEDIALORBITOFRONTAL,GVOL,31.0
LH_MEDIALORBITOFRONTAL_SAREA,lh-medialorbitofrontal,L,A,LH,MEDIALORBITOFRONTAL,SAREA,31.0
LH_MEDIALORBITOFRONTAL_AVGTH,lh-medialorbitofrontal,L,T,LH,MEDIALORBITOFRONTAL,AVGTH,31.0
